chr	start	end	strand	transcript_id	gene_name	TSS
chr1	11869	14362	+	NR_148357	LOC102725121	11869
chr1	11874	14409	+	NR_046018	DDX11L1	11874
chr1	14362	29370	-	NR_024540	WASH7P	29370
chr1	17369	17436	-	NR_106918	MIR6859-1	17436
chr1	17369	17436	-	NR_107062	MIR6859-2	17436
chr1	17369	17436	-	NR_107063	MIR6859-3	17436
chr1	17369	17436	-	NR_128720	MIR6859-4	17436
chr1	30366	30503	+	NR_036051	MIR1302-2	30366
chr1	30366	30503	+	NR_036266	MIR1302-9	30366
chr1	30366	30503	+	NR_036267	MIR1302-10	30366
chr1	30366	30503	+	NR_036268	MIR1302-11	30366
chr1	34611	36081	-	NR_026818	FAM138A	36081
chr1	34611	36081	-	NR_026820	FAM138F	36081
chr1	34611	36081	-	NR_026822	FAM138C	36081
chr1	69091	70008	+	NM_001005484	OR4F5	69091
chr1	134773	140566	-	NR_039983	LOC729737	140566
chr1	323892	328581	+	NR_028322	LOC100132287	323892
chr1	323892	328581	+	NR_028325	LOC100132062	323892
chr1	367659	368597	+	NM_001005277	OR4F16	367659
chr1	367659	368597	+	NM_001005221	OR4F29	367659
chr1	367659	368597	+	NM_001005224_3	OR4F3	367659
chr1	562760	564389	-	NR_125957	LOC101928626	564389
chr1	567995	568065	-	NR_162149	MIR12136	568065
chr1	621096	622034	-	NM_001005221_2	OR4F29	622034
chr1	621096	622034	-	NM_001005277_3	OR4F16	622034
chr1	621096	622034	-	NM_001005224_2	OR4F3	622034
chr1	661139	665731	-	NR_028327	LOC100133331	665731
chr1	700245	714068	-	NR_033908	LOC100288069	714068
chr1	752751	755214	+	NR_103536	FAM87B	752751
chr1	761586	762902	-	NR_024321	LINC00115	762902
chr1	762971	778984	+	NR_047526	LINC01128	762971
chr1	762971	794826	+	NR_047519	LINC01128	762971
chr1	762971	794826	+	NR_047521	LINC01128	762971
chr1	762971	794826	+	NR_047523	LINC01128	762971
chr1	762971	794826	+	NR_047524	LINC01128	762971
chr1	763178	794826	+	NR_047525	LINC01128	763178
chr1	803451	812182	-	NR_027055	FAM41C	812182
chr1	852198	855072	-	NR_026874	LINC02593	855072
chr1	852198	855072	-	NR_122045	LINC02593	855072
chr1	861111	879954	+	NM_152486	SAMD11	861111
chr1	879583	894636	-	NM_015658	NOC2L	894636
chr1	895964	901099	+	NM_198317	KLHL17	895964
chr1	901862	911245	+	NM_001160184	PLEKHN1	901862
chr1	901862	911245	+	NM_032129	PLEKHN1	901862
chr1	901862	911245	+	NM_001367552	PLEKHN1	901862
chr1	910578	917473	-	NM_001291367	PERM1	917473
chr1	910578	917473	-	NM_001291366	PERM1	917473
chr1	910578	916553	-	NM_001369898	PERM1	916553
chr1	910578	917473	-	NM_001369897	PERM1	917473
chr1	934344	935477	-	NM_001142467	HES4	935477
chr1	934344	935477	-	NM_021170	HES4	935477
chr1	948877	949919	+	NM_005101	ISG15	948877
chr1	955500	991494	+	NM_001305275	AGRN	955500
chr1	955500	991494	+	NM_198576	AGRN	955500
chr1	969373	991494	+	NM_001364727	AGRN	969373
chr1	995114	1001833	+	NR_148960	LOC100288175	995114
chr1	1006347	1009686	-	NM_001205252	RNF223	1009686
chr1	1017203	1051469	-	NM_017891	C1orf159	1051469
chr1	1017203	1051469	-	NM_001363525	C1orf159	1051469
chr1	1017203	1051469	-	NM_001330306	C1orf159	1051469
chr1	1072397	1079434	+	NR_038869	LINC01342	1072397
chr1	1102484	1102578	+	NR_029639	MIR200B	1102484
chr1	1103243	1103332	+	NR_029834	MIR200A	1103243
chr1	1104385	1104467	+	NR_029957	MIR429	1104385
chr1	1109260	1133315	+	NM_001130045	TTLL10	1109260
chr1	1109260	1133315	+	NM_001371649	TTLL10	1109260
chr1	1115061	1121243	+	NM_153254	TTLL10	1115061
chr1	1138888	1141972	-	NM_148901	TNFRSF18	1141972
chr1	1138888	1141972	-	NM_004195	TNFRSF18	1141972
chr1	1138888	1141972	-	NM_148902	TNFRSF18	1141972
chr1	1146720	1149533	-	NM_003327	TNFRSF4	1149533
chr1	1152288	1167447	-	NM_016547	SDF4	1167447
chr1	1152311	1167381	-	NM_016176	SDF4	1167381
chr1	1167617	1170420	+	NM_080605	B3GALT6	1167617
chr1	1177833	1182102	-	NM_001014980	C1QTNF12	1182102
chr1	1189292	1209234	-	NM_058167	UBE2J2	1209234
chr1	1189292	1209234	-	NM_194458	UBE2J2	1209234
chr1	1189292	1209234	-	NM_194457	UBE2J2	1209234
chr1	1189292	1209234	-	NM_194315	UBE2J2	1209234
chr1	1215816	1227409	+	NR_037668	SCNN1D	1215816
chr1	1215816	1227405	+	NM_001130413	SCNN1D	1215816
chr1	1227771	1243310	-	NM_030649	ACAP3	1243310
